Price,Mileage,Make,Model,Trim,Type,Cylinder,Liter,Doors,Cruise,Sound,Leather
21183.12359,21394,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,0,0
20406.0995,22596,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,0,0
21058.13958,24469,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,1,1
19556.89932,25245,Buick,Lacrosse,CXL Sedan 4D,Sedan,6,3.6,4,1,0,0
23447.68656,15755,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,1,0
23547.23944,16235,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,1,0
23016.00801,18147,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,1,1
22230.0275,22102,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,0,1
22625.07357,23612,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,0,1
21799.1721,24439,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,0,0
21341.25721,25212,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,1,1
21683.03146,26779,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,1,0
20986.01602,27096,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,0,0
20902.10379,29649,Buick,Lacrosse,CXS Sedan 4D,Sedan,6,3.8,4,1,1,1
20698.07708,2992,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,0,1
20099.25684,10036,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,1,1
18145.12649,18339,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,1,0
17944.85692,19592,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,0,0
19027.86231,21797,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,0,1
18348.89857,23852,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,1,0
17750.88457,25040,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,1,0
17772.96968,25052,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,1,0
17394.0214,25464,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,1,0
17645.74504,27830,Buick,Lesabre,Custom Sedan 4D,Sedan,6,3.8,4,1,1,1
21908.36662,17353,Buick,Lesabre,Limited Sedan 4D,Sedan,6,3.8,4,1,0,0
21956.34266,17787,Buick,Lesabre,Limited Sedan 4D,Sedan,6,3.8,4,1,1,0
21646.11692,19562,Buick,Lesabre,Limited Sedan 4D,Sedan,6,3.8,4,1,1,1
21575.45683,20137,Buick,Lesabre,Limited Sedan 4D,Sedan,6,3.8,4,1,1,0
20952.2178,20158,Buick,Lesabre,Limited Sedan 4D,Sedan,6,3.8,4,1,1,0
21562.04758,23767,Buick,Lesabre,Limited Sedan 4D,Sedan,6,3.8,4,1,0,1
19981.12791,24323,Buick,Lesabre,Limited Sedan 4D,Sedan,6,3.8,4,1,1,0
19425.84862,27839,Buick,Lesabre,Limited Sedan 4D,Sedan,6,3.8,4,1,1,0
19191.98962,29187,Buick,Lesabre,Limited Sedan 4D,Sedan,6,3.8,4,1,1,1
19641.7419,31324,Buick,Lesabre,Limited Sedan 4D,Sedan,6,3.8,4,1,1,1
25589.98315,2308,Buick,Park Avenue,Sedan 4D,Sedan,6,3.8,4,1,1,0
25098.62906,10014,Buick,Park Avenue,Sedan 4D,Sedan,6,3.8,4,1,1,0
23420.70695,18910,Buick,Park Avenue,Sedan 4D,Sedan,6,3.8,4,1,0,1
22661.04849,20105,Buick,Park Avenue,Sedan 4D,Sedan,6,3.8,4,1,0,0
23493.0823,20453,Buick,Park Avenue,Sedan 4D,Sedan,6,3.8,4,1,1,0
